dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
contains_number,2,smolvlm2_2b,201,76,0.3781,12,0.0597,76,0.3781,0.9647,0.7935,1.7582
contains_number,2,smolvlm_500m,201,46,0.2289,8,0.0398,50,0.2488,0.7596,0.6296,1.3892
contains_number,3,qwen2_vl_2b,200,87,0.4350,42,0.2100,88,0.4400,0.3868,0.1813,0.5680
contains_number,3,smolvlm2_2b,200,90,0.4500,18,0.0900,90,0.4500,0.9260,0.7960,1.7220
contains_number,3,smolvlm_500m,200,61,0.3050,6,0.0300,61,0.3050,0.7533,0.6385,1.3918
contains_number,4,qwen2_vl_2b,219,81,0.3699,26,0.1187,84,0.3836,0.3691,0.1728,0.5419
contains_number,4,smolvlm2_2b,219,73,0.3333,5,0.0228,74,0.3379,0.9553,0.7984,1.7538
contains_number,4,smolvlm_500m,219,33,0.1507,9,0.0411,33,0.1507,0.7381,0.6380,1.3761
contains_number,5,qwen2_vl_2b,198,79,0.3990,37,0.1869,80,0.4040,0.3552,0.1752,0.5304
contains_number,5,smolvlm2_2b,198,86,0.4343,13,0.0657,86,0.4343,0.9241,0.7971,1.7212
contains_number,5,smolvlm_500m,198,48,0.2424,10,0.0505,49,0.2475,0.7437,0.6236,1.3673
contains_number,6,qwen2_vl_2b,199,56,0.2814,30,0.1508,60,0.3015,0.3722,0.1819,0.5541
contains_number,6,smolvlm2_2b,199,52,0.2613,8,0.0402,53,0.2663,0.9547,0.7943,1.7490
contains_number,6,smolvlm_500m,199,43,0.2161,7,0.0352,46,0.2312,0.7573,0.6371,1.3944
contains_number,7,qwen2_vl_2b,196,62,0.3163,20,0.1020,65,0.3316,0.3774,0.1789,0.5562
contains_number,7,smolvlm2_2b,196,62,0.3163,5,0.0255,63,0.3214,0.9545,0.7941,1.7487
contains_number,7,smolvlm_500m,196,36,0.1837,5,0.0255,37,0.1888,0.7571,0.6338,1.3909
contains_number,8,qwen2_vl_2b,189,76,0.4021,29,0.1534,77,0.4074,0.3696,0.1819,0.5515
contains_number,8,smolvlm2_2b,189,83,0.4392,8,0.0423,83,0.4392,0.9335,0.7972,1.7307
contains_number,8,smolvlm_500m,189,51,0.2698,2,0.0106,51,0.2698,0.7335,0.6310,1.3645
contains_number,9,qwen2_vl_2b,206,60,0.2913,20,0.0971,63,0.3058,0.3567,0.1764,0.5331
contains_number,9,smolvlm2_2b,206,62,0.3010,5,0.0243,62,0.3010,0.9331,0.7874,1.7205
contains_number,9,smolvlm_500m,206,38,0.1845,9,0.0437,40,0.1942,0.7482,0.6308,1.3790
contains_operator,addition,qwen2_vl_2b,376,136,0.3617,59,0.1569,141,0.3750,0.3771,0.1764,0.5536
contains_operator,addition,smolvlm2_2b,376,114,0.3032,23,0.0612,115,0.3059,0.9623,0.7928,1.7551
contains_operator,addition,smolvlm_500m,376,42,0.1117,7,0.0186,42,0.1117,0.7819,0.6376,1.4194
contains_operator,multiplication,qwen2_vl_2b,359,104,0.2897,35,0.0975,109,0.3036,0.3602,0.1783,0.5385
contains_operator,multiplication,smolvlm2_2b,359,122,0.3398,18,0.0501,123,0.3426,0.9442,0.7983,1.7425
contains_operator,multiplication,smolvlm_500m,359,84,0.2340,16,0.0446,90,0.2507,0.7340,0.6360,1.3700
contains_operator,subtraction,qwen2_vl_2b,331,119,0.3595,45,0.1360,126,0.3807,0.3772,0.1758,0.5529
contains_operator,subtraction,smolvlm2_2b,331,116,0.3505,17,0.0514,119,0.3595,0.9380,0.7923,1.7303
contains_operator,subtraction,smolvlm_500m,331,86,0.2598,19,0.0574,91,0.2749,0.7373,0.6329,1.3702
difficulty,high,qwen2_vl_2b,285,9,0.0316,6,0.0211,13,0.0456,0.3466,0.1665,0.5132
difficulty,high,smolvlm2_2b,285,20,0.0702,9,0.0316,20,0.0702,0.9719,0.7883,1.7603
difficulty,high,smolvlm_500m,285,8,0.0281,13,0.0456,10,0.0351,0.7893,0.6220,1.4114
difficulty,low,qwen2_vl_2b,261,206,0.7893,92,0.3525,207,0.7931,0.3536,0.1869,0.5405
difficulty,low,smolvlm2_2b,261,194,0.7433,25,0.0958,194,0.7433,0.9113,0.7986,1.7099
difficulty,low,smolvlm_500m,261,137,0.5249,16,0.0613,137,0.5249,0.6994,0.6338,1.3332
difficulty,medium,qwen2_vl_2b,254,69,0.2717,30,0.1181,74,0.2913,0.3782,0.1779,0.5561
difficulty,medium,smolvlm2_2b,254,72,0.2835,11,0.0433,75,0.2953,0.9196,0.7956,1.7152
difficulty,medium,smolvlm_500m,254,28,0.1102,6,0.0236,32,0.1260,0.7313,0.6267,1.3579
noise_presence,blur:absent,qwen2_vl_2b,384,131,0.3411,48,0.1250,135,0.3516,0.3510,0.1767,0.5277
noise_presence,blur:absent,smolvlm2_2b,384,135,0.3516,25,0.0651,138,0.3594,0.9372,0.7933,1.7305
noise_presence,blur:absent,smolvlm_500m,384,81,0.2109,14,0.0365,83,0.2161,0.7494,0.6262,1.3756
noise_presence,blur:present,qwen2_vl_2b,416,153,0.3678,80,0.1923,159,0.3822,0.3663,0.1769,0.5432
noise_presence,blur:present,smolvlm2_2b,416,151,0.3630,20,0.0481,151,0.3630,0.9339,0.7946,1.7286
noise_presence,blur:present,smolvlm_500m,416,92,0.2212,21,0.0505,96,0.2308,0.7343,0.6284,1.3627
noise_presence,gaussian_noise:absent,qwen2_vl_2b,235,87,0.3702,44,0.1872,91,0.3872,0.3561,0.1749,0.5310
noise_presence,gaussian_noise:absent,smolvlm2_2b,235,84,0.3574,10,0.0426,84,0.3574,0.9405,0.7883,1.7288
noise_presence,gaussian_noise:absent,smolvlm_500m,235,50,0.2128,9,0.0383,51,0.2170,0.7715,0.6689,1.4404
noise_presence,gaussian_noise:present,qwen2_vl_2b,565,197,0.3487,84,0.1487,203,0.3593,0.3601,0.1776,0.5377
noise_presence,gaussian_noise:present,smolvlm2_2b,565,202,0.3575,35,0.0619,205,0.3628,0.9334,0.7964,1.7298
noise_presence,gaussian_noise:present,smolvlm_500m,565,123,0.2177,26,0.0460,128,0.2265,0.7291,0.6101,1.3392
noise_presence,line_noise:present,qwen2_vl_2b,800,284,0.3550,128,0.1600,294,0.3675,0.3589,0.1768,0.5357
noise_presence,line_noise:present,smolvlm2_2b,800,286,0.3575,45,0.0563,289,0.3613,0.9355,0.7940,1.7295
noise_presence,line_noise:present,smolvlm_500m,800,173,0.2162,35,0.0437,179,0.2238,0.7416,0.6274,1.3689
noise_presence,salt_pepper_noise:absent,qwen2_vl_2b,389,145,0.3728,76,0.1954,151,0.3882,0.3517,0.1773,0.5291
noise_presence,salt_pepper_noise:absent,smolvlm2_2b,389,137,0.3522,18,0.0463,138,0.3548,0.9411,0.7889,1.7300
noise_presence,salt_pepper_noise:absent,smolvlm_500m,389,81,0.2082,12,0.0308,82,0.2108,0.7557,0.6431,1.3988
noise_presence,salt_pepper_noise:present,qwen2_vl_2b,411,139,0.3382,52,0.1265,143,0.3479,0.3658,0.1763,0.5421
noise_presence,salt_pepper_noise:present,smolvlm2_2b,411,149,0.3625,27,0.0657,151,0.3674,0.9302,0.7988,1.7291
noise_presence,salt_pepper_noise:present,smolvlm_500m,411,92,0.2238,23,0.0560,97,0.2360,0.7281,0.6125,1.3406
noise_presence,warp_amplitude:present,qwen2_vl_2b,800,284,0.3550,128,0.1600,294,0.3675,0.3589,0.1768,0.5357
noise_presence,warp_amplitude:present,smolvlm2_2b,800,286,0.3575,45,0.0563,289,0.3613,0.9355,0.7940,1.7295
noise_presence,warp_amplitude:present,smolvlm_500m,800,173,0.2162,35,0.0437,179,0.2238,0.7416,0.6274,1.3689
noise_presence,warp_frequency:present,qwen2_vl_2b,800,284,0.3550,128,0.1600,294,0.3675,0.3589,0.1768,0.5357
noise_presence,warp_frequency:present,smolvlm2_2b,800,286,0.3575,45,0.0563,289,0.3613,0.9355,0.7940,1.7295
noise_presence,warp_frequency:present,smolvlm_500m,800,173,0.2162,35,0.0437,179,0.2238,0.7416,0.6274,1.3689
noise_strength,blur:high,qwen2_vl_2b,78,2,0.0256,2,0.0256,3,0.0385,0.3587,0.1714,0.5301
noise_strength,blur:high,smolvlm2_2b,78,7,0.0897,2,0.0256,7,0.0897,0.9538,0.7853,1.7391
noise_strength,blur:high,smolvlm_500m,78,1,0.0128,4,0.0513,2,0.0256,0.7680,0.6099,1.3779
noise_strength,blur:low,qwen2_vl_2b,130,104,0.8000,58,0.4462,104,0.8000,0.3491,0.1845,0.5336
noise_strength,blur:low,smolvlm2_2b,130,97,0.7462,8,0.0615,97,0.7462,0.9130,0.8016,1.7147
noise_strength,blur:low,smolvlm_500m,130,69,0.5308,9,0.0692,69,0.5308,0.6878,0.6400,1.3278
noise_strength,blur:medium,qwen2_vl_2b,208,47,0.2260,20,0.0962,52,0.2500,0.3799,0.1743,0.5541
noise_strength,blur:medium,smolvlm2_2b,208,47,0.2260,10,0.0481,47,0.2260,0.9396,0.7938,1.7333
noise_strength,blur:medium,smolvlm_500m,208,22,0.1058,8,0.0385,25,0.1202,0.7508,0.6281,1.3789
noise_strength,blur:none,qwen2_vl_2b,384,131,0.3411,48,0.1250,135,0.3516,0.3510,0.1767,0.5277
noise_strength,blur:none,smolvlm2_2b,384,135,0.3516,25,0.0651,138,0.3594,0.9372,0.7933,1.7305
noise_strength,blur:none,smolvlm_500m,384,81,0.2109,14,0.0365,83,0.2161,0.7494,0.6262,1.3756
noise_strength,gaussian_noise:high,qwen2_vl_2b,206,8,0.0388,6,0.0291,9,0.0437,0.3462,0.1677,0.5138
noise_strength,gaussian_noise:high,smolvlm2_2b,206,17,0.0825,6,0.0291,17,0.0825,0.9586,0.7892,1.7478
noise_strength,gaussian_noise:high,smolvlm_500m,206,8,0.0388,9,0.0437,10,0.0485,0.7722,0.6090,1.3813
noise_strength,gaussian_noise:low,qwen2_vl_2b,134,114,0.8507,47,0.3507,114,0.8507,0.3562,0.1922,0.5484
noise_strength,gaussian_noise:low,smolvlm2_2b,134,110,0.8209,19,0.1418,110,0.8209,0.9130,0.8016,1.7146
noise_strength,gaussian_noise:low,smolvlm_500m,134,80,0.5970,12,0.0896,80,0.5970,0.6890,0.6216,1.3105
noise_strength,gaussian_noise:medium,qwen2_vl_2b,225,75,0.3333,31,0.1378,80,0.3556,0.3752,0.1780,0.5532
noise_strength,gaussian_noise:medium,smolvlm2_2b,225,75,0.3333,10,0.0444,78,0.3467,0.9226,0.7999,1.7224
noise_strength,gaussian_noise:medium,smolvlm_500m,225,35,0.1556,5,0.0222,38,0.1689,0.7134,0.6042,1.3177
noise_strength,gaussian_noise:none,qwen2_vl_2b,235,87,0.3702,44,0.1872,91,0.3872,0.3561,0.1749,0.5310
noise_strength,gaussian_noise:none,smolvlm2_2b,235,84,0.3574,10,0.0426,84,0.3574,0.9405,0.7883,1.7288
noise_strength,gaussian_noise:none,smolvlm_500m,235,50,0.2128,9,0.0383,51,0.2170,0.7715,0.6689,1.4404
noise_strength,line_noise:high,qwen2_vl_2b,44,1,0.0227,3,0.0682,1,0.0227,0.3395,0.1649,0.5044
noise_strength,line_noise:high,smolvlm2_2b,44,2,0.0455,1,0.0227,2,0.0455,0.9786,0.7862,1.7648
noise_strength,line_noise:high,smolvlm_500m,44,1,0.0227,1,0.0227,2,0.0455,0.8021,0.6396,1.4417
noise_strength,line_noise:low,qwen2_vl_2b,295,228,0.7729,98,0.3322,229,0.7763,0.3657,0.1890,0.5547
noise_strength,line_noise:low,smolvlm2_2b,295,209,0.7085,26,0.0881,210,0.7119,0.9114,0.7977,1.7092
noise_strength,line_noise:low,smolvlm_500m,295,150,0.5085,18,0.0610,150,0.5085,0.7007,0.6365,1.3372
noise_strength,line_noise:medium,qwen2_vl_2b,461,55,0.1193,27,0.0586,64,0.1388,0.3565,0.1702,0.5266
noise_strength,line_noise:medium,smolvlm2_2b,461,75,0.1627,18,0.0390,77,0.1670,0.9468,0.7924,1.7392
noise_strength,line_noise:medium,smolvlm_500m,461,22,0.0477,16,0.0347,27,0.0586,0.7619,0.6203,1.3823
noise_strength,salt_pepper_noise:high,qwen2_vl_2b,74,1,0.0135,3,0.0405,2,0.0270,0.3625,0.1658,0.5283
noise_strength,salt_pepper_noise:high,smolvlm2_2b,74,3,0.0405,1,0.0135,3,0.0405,0.9853,0.7902,1.7755
noise_strength,salt_pepper_noise:high,smolvlm_500m,74,0,0.0000,3,0.0405,1,0.0135,0.7623,0.6037,1.3660
noise_strength,salt_pepper_noise:low,qwen2_vl_2b,59,53,0.8983,21,0.3559,53,0.8983,0.3326,0.1915,0.5240
noise_strength,salt_pepper_noise:low,smolvlm2_2b,59,56,0.9492,7,0.1186,56,0.9492,0.9082,0.8033,1.7116
noise_strength,salt_pepper_noise:low,smolvlm_500m,59,45,0.7627,5,0.0847,45,0.7627,0.6748,0.6192,1.2940
noise_strength,salt_pepper_noise:medium,qwen2_vl_2b,278,85,0.3058,28,0.1007,88,0.3165,0.3737,0.1759,0.5495
noise_strength,salt_pepper_noise:medium,smolvlm2_2b,278,90,0.3237,19,0.0683,92,0.3309,0.9202,0.8001,1.7204
noise_strength,salt_pepper_noise:medium,smolvlm_500m,278,47,0.1691,15,0.0540,51,0.1835,0.7304,0.6134,1.3438
noise_strength,salt_pepper_noise:none,qwen2_vl_2b,389,145,0.3728,76,0.1954,151,0.3882,0.3517,0.1773,0.5291
noise_strength,salt_pepper_noise:none,smolvlm2_2b,389,137,0.3522,18,0.0463,138,0.3548,0.9411,0.7889,1.7300
noise_strength,salt_pepper_noise:none,smolvlm_500m,389,81,0.2082,12,0.0308,82,0.2108,0.7557,0.6431,1.3988
noise_strength,warp_amplitude:high,qwen2_vl_2b,170,3,0.0176,4,0.0235,4,0.0235,0.3461,0.1669,0.5130
noise_strength,warp_amplitude:high,smolvlm2_2b,170,12,0.0706,4,0.0235,12,0.0706,0.9820,0.7872,1.7693
noise_strength,warp_amplitude:high,smolvlm_500m,170,3,0.0176,7,0.0412,4,0.0235,0.7950,0.6262,1.4212
noise_strength,warp_amplitude:low,qwen2_vl_2b,295,228,0.7729,98,0.3322,229,0.7763,0.3657,0.1890,0.5547
noise_strength,warp_amplitude:low,smolvlm2_2b,295,209,0.7085,26,0.0881,210,0.7119,0.9114,0.7977,1.7092
noise_strength,warp_amplitude:low,smolvlm_500m,295,150,0.5085,18,0.0610,150,0.5085,0.7007,0.6365,1.3372
noise_strength,warp_amplitude:medium,qwen2_vl_2b,335,53,0.1582,26,0.0776,61,0.1821,0.3595,0.1712,0.5306
noise_strength,warp_amplitude:medium,smolvlm2_2b,335,65,0.1940,15,0.0448,67,0.2000,0.9331,0.7942,1.7273
noise_strength,warp_amplitude:medium,smolvlm_500m,335,20,0.0597,10,0.0299,25,0.0746,0.7504,0.6199,1.3703
noise_strength,warp_frequency:high,qwen2_vl_2b,155,3,0.0194,4,0.0258,4,0.0258,0.3448,0.1666,0.5114
noise_strength,warp_frequency:high,smolvlm2_2b,155,12,0.0774,3,0.0194,12,0.0774,0.9850,0.7881,1.7731
noise_strength,warp_frequency:high,smolvlm_500m,155,3,0.0194,6,0.0387,4,0.0258,0.7809,0.6203,1.4012
noise_strength,warp_frequency:low,qwen2_vl_2b,241,193,0.8008,87,0.3610,193,0.8008,0.3538,0.1878,0.5416
noise_strength,warp_frequency:low,smolvlm2_2b,241,186,0.7718,23,0.0954,186,0.7718,0.9110,0.7985,1.7096
noise_strength,warp_frequency:low,smolvlm_500m,241,132,0.5477,16,0.0664,132,0.5477,0.6986,0.6372,1.3358
noise_strength,warp_frequency:medium,qwen2_vl_2b,404,88,0.2178,37,0.0916,97,0.2401,0.3674,0.1742,0.5416
noise_strength,warp_frequency:medium,smolvlm2_2b,404,88,0.2178,19,0.0470,91,0.2252,0.9311,0.7936,1.7247
noise_strength,warp_frequency:medium,smolvlm_500m,404,38,0.0941,13,0.0322,43,0.1064,0.7521,0.6242,1.3763
operator_pattern,*,qwen2_vl_2b,138,45,0.3261,23,0.1667,46,0.3333,0.3118,0.1758,0.4876
operator_pattern,*,smolvlm2_2b,138,57,0.4130,14,0.1014,57,0.4130,0.8872,0.7980,1.6852
operator_pattern,*,smolvlm_500m,138,36,0.2609,13,0.0942,37,0.2681,0.6827,0.6076,1.2903
operator_pattern,**,qwen2_vl_2b,45,9,0.2000,3,0.0667,9,0.2000,0.3407,0.1870,0.5276
operator_pattern,**,smolvlm2_2b,45,18,0.4000,3,0.0667,18,0.4000,0.9619,0.7932,1.7551
operator_pattern,**,smolvlm_500m,45,16,0.3556,1,0.0222,16,0.3556,0.7353,0.6377,1.3730
operator_pattern,*+,qwen2_vl_2b,59,20,0.3390,4,0.0678,20,0.3390,0.3825,0.1795,0.5620
operator_pattern,*+,smolvlm2_2b,59,18,0.3051,1,0.0169,18,0.3051,0.9582,0.7989,1.7571
operator_pattern,*+,smolvlm_500m,59,10,0.1695,0,0.0000,10,0.1695,0.7701,0.6635,1.4336
operator_pattern,*-,qwen2_vl_2b,37,10,0.2703,3,0.0811,10,0.2703,0.3926,0.1704,0.5630
operator_pattern,*-,smolvlm2_2b,37,11,0.2973,0,0.0000,11,0.2973,0.9645,0.8099,1.7743
operator_pattern,*-,smolvlm_500m,37,11,0.2973,1,0.0270,12,0.3243,0.7613,0.6588,1.4201
operator_pattern,+,qwen2_vl_2b,136,62,0.4559,40,0.2941,62,0.4559,0.3136,0.1739,0.4876
operator_pattern,+,smolvlm2_2b,136,49,0.3603,8,0.0588,49,0.3603,0.8999,0.7910,1.6909
operator_pattern,+,smolvlm_500m,136,20,0.1471,1,0.0074,20,0.1471,0.7396,0.6032,1.3429
operator_pattern,+*,qwen2_vl_2b,44,9,0.2045,1,0.0227,10,0.2273,0.4224,0.1742,0.5966
operator_pattern,+*,smolvlm2_2b,44,11,0.2500,0,0.0000,11,0.2500,1.0394,0.7964,1.8358
operator_pattern,+*,smolvlm_500m,44,2,0.0455,0,0.0000,2,0.0455,0.7779,0.6485,1.4264
operator_pattern,++,qwen2_vl_2b,47,20,0.4255,12,0.2553,21,0.4468,0.4288,0.1846,0.6133
operator_pattern,++,smolvlm2_2b,47,17,0.3617,2,0.0426,17,0.3617,1.0123,0.7955,1.8078
operator_pattern,++,smolvlm_500m,47,3,0.0638,1,0.0213,3,0.0638,0.8862,0.6408,1.5271
operator_pattern,+-,qwen2_vl_2b,43,8,0.1860,1,0.0233,11,0.2558,0.4101,0.1799,0.5900
operator_pattern,+-,smolvlm2_2b,43,9,0.2093,8,0.1860,10,0.2326,1.0198,0.7856,1.8054
operator_pattern,+-,smolvlm_500m,43,3,0.0698,1,0.0233,3,0.0698,0.7978,0.6429,1.4407
operator_pattern,-,qwen2_vl_2b,133,62,0.4662,35,0.2632,63,0.4737,0.3007,0.1731,0.4738
operator_pattern,-,smolvlm2_2b,133,69,0.5188,5,0.0376,70,0.5263,0.8737,0.7889,1.6626
operator_pattern,-,smolvlm_500m,133,50,0.3759,8,0.0602,50,0.3759,0.6644,0.5982,1.2625
operator_pattern,-*,qwen2_vl_2b,36,11,0.3056,1,0.0278,14,0.3889,0.4241,0.1885,0.6127
operator_pattern,-*,smolvlm2_2b,36,7,0.1944,0,0.0000,8,0.2222,0.9809,0.7948,1.7757
operator_pattern,-*,smolvlm_500m,36,9,0.2500,1,0.0278,13,0.3611,0.7884,0.6585,1.4470
operator_pattern,-+,qwen2_vl_2b,47,17,0.3617,1,0.0213,17,0.3617,0.4300,0.1706,0.6005
operator_pattern,-+,smolvlm2_2b,47,10,0.2128,4,0.0851,10,0.2128,0.9734,0.7910,1.7645
operator_pattern,-+,smolvlm_500m,47,4,0.0851,4,0.0851,4,0.0851,0.8037,0.6859,1.4895
operator_pattern,--,qwen2_vl_2b,35,11,0.3143,4,0.1143,11,0.3143,0.4917,0.1808,0.6725
operator_pattern,--,smolvlm2_2b,35,10,0.2857,0,0.0000,10,0.2857,0.9620,0.7939,1.7559
operator_pattern,--,smolvlm_500m,35,9,0.2571,4,0.1143,9,0.2571,0.7729,0.6275,1.4004
term_count,2,qwen2_vl_2b,407,169,0.4152,98,0.2408,171,0.4201,0.3088,0.1743,0.4831
term_count,2,smolvlm2_2b,407,175,0.4300,27,0.0663,176,0.4324,0.8870,0.7927,1.6797
term_count,2,smolvlm_500m,407,106,0.2604,22,0.0541,107,0.2629,0.6957,0.6031,1.2988
term_count,3,qwen2_vl_2b,393,115,0.2926,30,0.0763,123,0.3130,0.4109,0.1794,0.5903
term_count,3,smolvlm2_2b,393,111,0.2824,18,0.0458,113,0.2875,0.9857,0.7954,1.7811
term_count,3,smolvlm_500m,393,67,0.1705,13,0.0331,72,0.1832,0.7890,0.6525,1.4415
